input_file,k,nmf_score,kmeans_score
tests/input_1.txt,2,0.8856314800289529,0.8856314800289529
tests/input_1.txt,3,0.5956835443458144,0.5957275996276943
tests/input_1.txt,4,0.48366120725344985,0.5154105217882694
tests/input_1.txt,5,0.4410264265194118,0.4556292060171561
tests/input_1.txt,6,0.21195767918646374,0.4618983744814099
tests/input_1.txt,7,0.22258828906015446,0.461113733651326
tests/input_1.txt,8,0.4498737069258425,0.4571216418359398
tests/input_1.txt,9,0.21568671486828847,0.4583006361980438
tests/input_1.txt,10,0.2245604384169853,0.45963033536883513
tests/input_2.txt,2,0.2214806582849939,0.348089154936635
tests/input_2.txt,3,0.25389312320664925,0.47894985872958523
tests/input_2.txt,4,0.3183540209175859,0.4874709341641346
tests/input_2.txt,5,0.40269585455951235,0.5725139143138933
tests/input_2.txt,6,0.24000599757723332,0.6819682416997624
tests/input_2.txt,7,0.5398359218464575,0.7490977810259014
tests/input_2.txt,8,0.40546291524641515,0.647482800587722
tests/input_2.txt,9,0.3404527470151868,0.5624818866589629
tests/input_2.txt,10,0.3889467935724586,0.48204350324543443
